"Velocity Table: X (m)","Velocity Table: Y (m)","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Absolute Pressure (Pa)"
0.49206702,0.0533601,0.49206702,89157.66725535376
0.50793298,0.05234889,0.50793298,89630.055386752
0.52379096,0.05128347,0.52379096,90094.55971872323
0.53962498,0.05016745,0.53962498,90551.74596305273
0.5554191,0.04900448,0.5554191,90989.26994004316
0.57115742,0.04779817,0.57115742,91442.41066535775
0.58682409,0.04655211,0.58682409,91840.2289220771
0.60240333,0.04526984,0.60240333,92344.74970799408
0.61787947,0.04395487,0.61787947,93171.17934544555
0.63323691,0.04261068,0.63323691,93404.26485498835
0.64846019,0.04124066,0.64846019,93834.66324856992
0.66353398,0.0398482,0.66353398,94199.91120698978
0.67844311,0.0384366,0.67844311,94850.58645417255
0.69317256,0.03700913,0.69317256,95515.96890759026
0.70770751,0.03556902,0.70770751,95603.09034711064
0.72203331,0.03411944,0.72203331,96238.03838808104
0.73613554,0.03266353,0.73613554,96879.74869546593
0.75,0.03120439,0.75,97070.87791041587
0.76361273,0.0297451,0.76361273,97183.17673331391
0.77696003,0.02828869,0.77696003,97945.3710035314
0.79002845,0.0268382,0.79002845,98863.9128816478
0.80280484,0.02539661,0.80280484,98740.81344996723
0.81527633,0.02396693,0.81527633,98680.39851878663
0.82743037,0.02255211,0.82743037,99688.42125045152
0.83925471,0.02115513,0.83925471,100691.20933686393
0.85073744,0.01977893,0.85073744,101238.75329564801
0.86186702,0.01842646,0.86186702,101954.4244395529
0.87263222,0.01710064,0.87263222,102990.83586184504
0.88302222,0.01580439,0.88302222,103911.16182198444
0.89302655,0.0145406,0.89302655,103615.33928610409
0.90263513,0.01331215,0.90263513,101728.51389638204
0.91183829,0.01212187,0.91183829,101020.38234900287
0.92062677,0.01097258,0.92062677,102560.48374436279
0.92899171,0.00986703,0.92899171,105135.65405765177
0.93692469,0.00880793,0.93692469,107034.764334557
0.94441772,0.00779793,0.94441772,108031.86161372642
0.95146327,0.00683958,0.95146327,108906.11434976361
0.95805423,0.00593537,0.95805423,110126.91712592747
0.96418397,0.00508767,0.96418397,111336.89386020425
0.96984631,0.00429874,0.96984631,111336.89386020425
0.97503556,0.00357073,0.97503556,112356.35576764845
0.97974649,0.00290565,0.97974649,112356.35576764845
0.98397435,0.00230534,0.98397435,111054.41216574305
0.98771489,0.00177151,0.98771489,108185.21547093028
0.99096435,0.00130567,0.99096435,108185.21547093028
0.99371944,9.0917E-4,0.99371944,108185.21547093028
0.99597741,5.8316E-4,0.99597741,111475.05273598248
0.99773596,3.2858999999999997E-4,0.99773596,111475.05273598248
0.99899334,1.4622000000000002E-4,0.99899334,111475.05273598248
0.99974827,3.657999999999999E-5,0.99974827,111475.05273598248
1.0,-1.3552527156068805E-20,1.0,113101.70687280166
0.99974827,-3.658000000000001E-5,0.99974827,113101.70687280166
0.99899334,-1.4622E-4,0.99899334,113101.70687280166
0.99773596,-3.2859E-4,0.99773596,113101.70687280166
0.99597741,-5.831600000000001E-4,0.99597741,113101.70687280166
0.99371944,-9.0917E-4,0.99371944,109604.47841829307
0.99096435,-0.00130567,0.99096435,109604.47841829307
0.98771489,-0.00177151,0.98771489,109604.47841829307
0.98397435,-0.00230534,0.98397435,109604.47841829307
0.97974649,-0.00290565,0.97974649,109666.18895257055
0.97503556,-0.00357073,0.97503556,109666.18895257055
0.96984631,-0.00429874,0.96984631,108456.08037012725
0.96418397,-0.00508767,0.96418397,108456.08037012725
0.95805423,-0.00593537,0.95805423,107322.98802372564
0.95146327,-0.00683958,0.95146327,104971.54776652831
0.94441772,-0.00779793,0.94441772,103681.30631948648
0.93692469,-0.00880793,0.93692469,104893.0808749897
0.92899171,-0.00986703,0.92899171,105821.73590060377
0.92062677,-0.01097258,0.92062677,104805.96349038379
0.91183829,-0.01212187,0.91183829,103149.07177652608
0.90263513,-0.01331215,0.90263513,102193.46461458234
0.89302655,-0.0145406,0.89302655,102796.08263118519
0.88302222,-0.01580439,0.88302222,103171.13526672241
0.87263222,-0.01710064,0.87263222,102242.90301750564
0.86186702,-0.01842646,0.86186702,101136.17798518372
0.85073744,-0.01977893,0.85073744,100532.22207363123
0.83925471,-0.02115513,0.83925471,100316.09680042355
0.82743037,-0.02255211,0.82743037,99652.86150446243
0.81527633,-0.02396693,0.81527633,98404.29522915086
0.80280484,-0.02539661,0.80280484,97943.5241536365
0.79002845,-0.0268382,0.79002845,98372.10263884303
0.77696003,-0.02828869,0.77696003,98041.49565850908
0.76361273,-0.0297451,0.76361273,97471.21547727202
0.75,-0.03120439,0.75,97143.53689608112
0.73613554,-0.03266353,0.73613554,96713.82219578917
0.72203331,-0.03411944,0.72203331,95777.76234779284
0.70770751,-0.03556902,0.70770751,95871.57021922019
0.69317256,-0.03700913,0.69317256,95110.93560732664
0.67844311,-0.0384366,0.67844311,94631.71144935857
0.66353398,-0.0398482,0.66353398,94223.45499562156
0.64846019,-0.04124066,0.64846019,93702.3162325075
0.63323691,-0.04261068,0.63323691,93521.0311019777
0.61787947,-0.04395487,0.61787947,93093.97989369882
0.60240333,-0.04526984,0.60240333,92198.00325731885
0.58682409,-0.04655211,0.58682409,91871.52246593447
0.57115742,-0.04779817,0.57115742,91366.11929059729
0.5554191,-0.04900448,0.5554191,90954.92129602416
0.53962498,-0.05016745,0.53962498,90503.07675120096
0.52379096,-0.05128347,0.52379096,90053.86348076069
0.50793298,-0.05234889,0.50793298,89587.371399101
0.49206702,-0.0533601,0.49206702,89115.85400951849
0.47620904,-0.05431344,0.47620904,88638.18523833549
0.46037502,-0.05520531,0.46037502,88156.94864642418
0.4445809,-0.05603212,0.4445809,87673.1791820465
0.42884258,-0.05679034,0.42884258,87189.02246316588
0.41317591,-0.05747651,0.41317591,86703.59365566309
0.39759667,-0.05808726,0.39759667,86217.91007446148
0.38212053,-0.05861932,0.38212053,85734.40774320989
0.36676309,-0.05906955,0.36676309,85255.021898934
0.35153981,-0.05943498,0.35153981,84779.3708681651
0.33646602,-0.05971277,0.33646602,84308.72898563833
0.32155689,-0.0599003,0.32155689,83846.06392142612
0.30682744,-0.05999514,0.30682744,83391.57921822605
0.29229249,-0.0599951,0.29229249,82941.949895441
0.27796669,-0.05989823,0.27796669,82458.04886022446
0.26386446,-0.05970283,0.26386446,82124.77970595771
0.25,-0.0594075,0.25,81795.28504630321
0.23638727,-0.0590111,0.23638727,81363.15482237254
0.22303997,-0.0585128,0.22303997,80982.03495756036
0.20997155,-0.05791208,0.20997155,80651.50582205327
0.19719516,-0.05720873,0.19719516,80351.64532475956
0.18472367,-0.05640284,0.18472367,80068.98231540955
0.17256963,-0.05549483,0.17256963,79815.80306075214
0.16074529,-0.05448542,0.16074529,79605.22055085964
0.14926256,-0.05337563,0.14926256,79428.68923647568
0.13813298,-0.05216679,0.13813298,79271.3948345241
0.12736778,-0.0508605,0.12736778,79190.31730204697
0.11697778,-0.04945862,0.11697778,79171.69781297926
0.10697345,-0.04796328,0.10697345,79163.1906988336
0.09736487,-0.04637683,0.09736487,79235.67353561
0.08816171,-0.04470182,0.08816171,79444.55282098295
0.07937323,-0.04294098,0.07937323,79838.13972209545
0.07100829,-0.04109721,0.07100829,80207.55237674997
0.06307531,-0.03917353,0.06307531,80377.65095847024
0.05558228,-0.03717304,0.05558228,80667.82458275654
0.04853673,-0.03509892,0.04853673,82405.26518366011
0.04194577,-0.03295438,0.04194577,83503.30506333376
0.03581603,-0.03074264,0.03581603,84710.00013704188
0.03015369,-0.02846688,0.03015369,86449.31885376021
0.02496444,-0.02613021,0.02496444,88768.93433367753
0.02025351,-0.02373567,0.02025351,91739.10230710005
0.01602565,-0.02128616,0.01602565,95527.96158475358
0.01228511,-0.01878444,0.01228511,100419.80165687448
0.00903565,-0.01623309,0.00903565,106961.7067212177
0.00628056,-0.0136345,0.00628056,114295.58312591758
0.0040225899999999995,-0.01099083,0.0040225899999999995,122431.22617602968
0.00226404,-0.008304,0.00226404,137585.4663177732
0.00100666,-0.0055757,0.00100666,152866.84898257186
2.517299999999999E-4,-0.00280732,2.517299999999999E-4,152773.61684805978
0.0,0.0,0.0,153226.71710511314
2.5173000000000003E-4,0.0028073200000000003,2.5173000000000003E-4,153130.67433101457
0.00100666,0.0055757,0.00100666,153226.71710511314
0.00226404,0.008304,0.00226404,138507.29864033833
0.00402259,0.01099083,0.00402259,123438.68708866985
0.006280560000000001,0.0136345,0.006280560000000001,115185.57584427939
0.00903565,0.01623309,0.00903565,107803.64966280259
0.01228511,0.01878444,0.01228511,101215.01743569938
0.01602565,0.02128616,0.01602565,96265.84096380559
0.02025351,0.02373567,0.02025351,92435.51906383975
0.02496444,0.02613021,0.02496444,89421.54354294897
0.03015369,0.02846688,0.03015369,87052.54200645379
0.03581603,0.03074264,0.03581603,85260.89059646713
0.04194577,0.03295438,0.04194577,84013.427103207
0.04853673,0.03509892,0.04853673,82888.70573876296
0.05558228,0.03717304,0.05558228,81102.31099907766
0.06307531,0.03917353,0.06307531,80777.9644051098
0.07100829,0.04109721,0.07100829,80578.52589280807
0.07937323,0.04294098,0.07937323,80176.82183820663
0.08816171,0.04470182,0.08816171,79765.2101888377
0.09736487,0.04637683,0.09736487,79524.0269022968
0.10697345,0.04796328,0.10697345,79428.19810466784
0.11697778,0.04945862,0.11697778,79409.65034269924
0.12736778,0.0508605,0.12736778,79431.60608206678
0.13813298,0.05216679,0.13813298,79506.56084203621
0.14926256,0.05337563,0.14926256,79633.92744071587
0.16074529,0.05448542,0.16074529,79795.83902071614
0.17256963,0.05549483,0.17256963,79992.81326841762
0.18472367,0.05640284,0.18472367,80223.3913932611
0.19719516,0.05720873,0.19719516,80497.12141193317
0.20997155,0.05791208,0.20997155,80793.12572137016
0.22303997,0.0585128,0.22303997,81121.23103872847
0.23638727,0.0590111,0.23638727,81477.80149408108
0.25,0.0594075,0.25,81899.70636477099
0.26386446,0.05970283,0.26386446,82229.42010569075
0.27796669,0.05989823,0.27796669,82554.9324549519
0.29229249,0.0599951,0.29229249,83032.29533838594
0.30682744,0.05999514,0.30682744,83476.40193995698
0.32155689,0.0599003,0.32155689,83925.12158230884
0.33646602,0.05971277,0.33646602,84381.69279327954
0.35153981,0.05943498,0.35153981,84846.61889069191
0.36676309,0.05906955,0.36676309,85318.29609916582
0.38212053,0.05861932,0.38212053,85792.9166731918
0.39759667,0.05808726,0.39759667,86271.78501454735
0.41317591,0.05747651,0.41317591,86754.86543364488
0.42884258,0.05679034,0.42884258,87238.05604647324
0.4445809,0.05603212,0.4445809,87720.09602895982
0.46037502,0.05520531,0.46037502,88201.7250905983
0.47620904,0.05431344,0.47620904,88681.12272153815
